id_commune;annee;insee_pop;insee_log
69095;2017;815;376
69095;2018;821;378
69095;2019;827;382
69095;2020;824;382
69095;2021;829;386
69095;2022;831;386
69095;2023;831;386
69095;2024;831;386
69096;2016;9615;4173
69096;2017;9662;4220
69096;2018;9675;4228
69096;2019;9706;4243
69096;2020;9739;4260
69096;2021;9851;4258
69096;2022;9941;4258
69096;2023;9941;4258
69096;2024;9941;4258
69097;2016;791;327
69097;2017;785;325
69097;2018;777;324
69097;2019;772;324
69097;2020;773;327
69097;2021;756;321
69097;2022;739;321
69097;2023;739;321
69097;2024;739;321
69098;2016;493;217
69098;2017;492;217
69098;2018;505;222
69098;2019;508;224
69098;2020;496;224
69098;2021;488;223
69098;2022;481;223
69098;2023;481;223
69098;2024;481;223
69099;2016;1450;679
69099;2017;1444;679
69099;2018;1442;681
69099;2019;1442;684
69099;2020;1436;692
69099;2021;1431;700
69099;2022;1425;700
69099;2023;1425;700
69099;2024;1425;700
69100;2016;8609;3599
69100;2017;8641;3634
69100;2018;8695;3695
69100;2019;8750;3741
69100;2020;8805;3787
69100;2021;8867;3821
69100;2022;8909;3821
69100;2023;8909;3821
69100;2024;8909;3821
69102;2016;683;329
69102;2017;691;334
69102;2018;713;337
69102;2019;734;332
69102;2020;756;327
69102;2021;751;327
69102;2022;753;327
69102;2023;753;327
69102;2024;753;327
69103;2016;915;497
69103;2017;909;496
69103;2018;906;494
69103;2019;899;492
69103;2020;886;494
69103;2021;885;496
69103;2022;883;496
69103;2023;883;496
69103;2024;883;496
69104;2016;439;283
69104;2017;435;283
69104;2018;433;284
69104;2019;432;286
69104;2020;454;284
69104;2021;475;282
69104;2022;496;282
69104;2023;496;282
69104;2024;496;282
69105;2016;948;396
69105;2017;972;435
69105;2018;997;446
69105;2019;1021;456
69105;2020;1007;458
69105;2021;1027;475
69105;2022;1029;475
69105;2023;1029;475
69105;2024;1029;475
69106;2016;1086;449
69106;2017;1118;455
69106;2018;1149;463
69106;2019;1181;472
69106;2020;1209;481
69106;2021;1264;501
69106;2022;1334;501
69106;2023;1334;501
69106;2024;1334;501
69107;2016;1048;551
69107;2017;1048;550
69107;2018;1049;552
69107;2019;1055;557
69107;2020;1049;555
69107;2021;1055;556
69107;2022;1051;556
69107;2023;1051;556
69107;2024;1051;556
69108;2016;1020;470
69108;2017;1021;472
69108;2018;1041;484
69108;2019;1043;487
69108;2020;1043;488
69108;2021;1062;498
69108;2022;1082;498
69108;2023;1082;498
69108;2024;1082;498
69109;2016;887;404
69109;2017;880;404
69109;2018;870;419
69109;2019;861;423
69109;2020;851;426
69109;2021;854;431
69109;2022;851;431
69109;2023;851;431
69109;2024;851;431
69110;2016;1857;871
69110;2017;1853;873
69110;2018;1848;877
69110;2019;1862;889
69110;2020;1848;903
69110;2021;1834;917
69110;2022;1820;917
69110;2023;1820;917
69110;2024;1820;917
69111;2016;664;286
69111;2017;667;282
69111;2018;670;287
69111;2019;673;291
69111;2020;681;293
69111;2021;691;296
69111;2022;699;296
69111;2023;699;296
69111;2024;699;296
69112;2016;5450;2266
69112;2017;5793;2550
69112;2018;6137;2686
69112;2019;6480;2822
69112;2020;6510;2852
69112;2021;6508;2867
69112;2022;6541;2867
69112;2023;6541;2867
69112;2024;6541;2867
69113;2016;932;373
69113;2017;922;385
69113;2018;911;388
69113;2019;901;391
69113;2020;900;392
69113;2021;903;395
69113;2022;907;395
69113;2023;907;395
69113;2024;907;395
69114;2016;3686;1502
69114;2017;3753;1551
69114;2018;3841;1591
69114;2019;3907;1618
69114;2020;3951;1639
69114;2021;3975;1650
69114;2022;4079;1650
69114;2023;4079;1650
69114;2024;4079;1650
69115;2016;4754;2006
69115;2017;4803;2026
69115;2018;4843;2042
69115;2019;4871;2053
69115;2020;4830;2077
69115;2021;4790;2102
69115;2022;4749;2102
69115;2023;4749;2102
69115;2024;4749;2102
69116;2016;3675;1625
69116;2017;3664;1640
69116;2018;3648;1653
69116;2019;3648;1674
69116;2020;3742;1733
69116;2021;3838;1794
69116;2022;3933;1794
69116;2023;3933;1794
69116;2024;3933;1794
69117;2016;3116;1324
69117;2017;3122;1363
69117;2018;3128;1377
69117;2019;3134;1390
69117;2020;3157;1408
69117;2021;3188;1430
69117;2022;3193;1430
69117;2023;3193;1430
69117;2024;3193;1430
69118;2016;2559;1132
69118;2017;2559;1137
69118;2018;2605;1163
69118;2019;2618;1174
69118;2020;2660;1185
69118;2021;2698;1197
69118;2022;2736;1197
69118;2023;2736;1197
69118;2024;2736;1197
69119;2016;961;418
69119;2017;977;423
69119;2018;975;425
69119;2019;977;429
69119;2020;977;432
69119;2021;964;433
69119;2022;951;433
69119;2023;951;433
69119;2024;951;433
69120;2016;597;302
69120;2017;595;305
69120;2018;594;307
69120;2019;595;307
69120;2020;596;307
69120;2021;595;306
69120;2022;592;306
69120;2023;592;306
69120;2024;592;306
69121;2016;2639;1194
69121;2017;2626;1200
69121;2018;2737;1265
69121;2019;2729;1275
69121;2020;2880;1346
69121;2021;3031;1416
69121;2022;3182;1416
69121;2023;3182;1416
69121;2024;3182;1416
69122;2016;1820;750
69122;2017;1808;752
69122;2018;1864;792
69122;2019;1916;819
69122;2020;1969;847
69122;2021;2051;888
69122;2022;2068;888
69122;2023;2068;888
69122;2024;2068;888
69123;2016;515695;299289
69123;2017;516092;301474
69123;2018;518635;304840
69123;2019;522969;308301
69123;2020;522228;311619
69123;2021;522250;315790
69123;2022;520774;315790
69123;2023;520774;315790
69123;2024;520774;315790
69124;2016;455;280
69124;2017;462;278
69124;2018;463;281
69124;2019;459;280
69124;2020;457;281
69124;2021;455;282
69124;2022;452;282
69124;2023;452;282
69124;2024;452;282
69125;2016;870;405
69125;2017;875;405
69125;2018;890;419
69125;2019;876;419
69125;2020;880;428
69125;2021;942;441
69125;2022;1004;441
69125;2023;1004;441
69125;2024;1004;441
69126;2016;709;306
69126;2017;726;313
69126;2018;755;325
69126;2019;768;330
69126;2020;805;348
69126;2021;842;367
69126;2022;879;367
69126;2023;879;367
69126;2024;879;367
69127;2016;3736;1734
69127;2017;3657;1753
69127;2018;3603;1546
69127;2019;3549;1549
69127;2020;3495;1553
69127;2021;3644;1597
69127;2022;3711;1597
69127;2023;3711;1597
69127;2024;3711;1597
69130;2016;239;146
69130;2017;237;145
69130;2018;234;144
69130;2019;233;144
69130;2020;232;147
69130;2021;229;146
69130;2022;226;146
69130;2023;226;146
69130;2024;226;146
69131;2016;3371;1411
69131;2017;3381;1450
69131;2018;3392;1461
69131;2019;3402;1472
69131;2020;3523;1534
69131;2021;3543;1552
69131;2022;3565;1552
69131;2023;3565;1552
69131;2024;3565;1552
69132;2016;852;377
69132;2017;850;377
69132;2018;849;377
69132;2019;847;378
69132;2020;843;378
69132;2021;850;383
69132;2022;855;383
69132;2023;855;383
69132;2024;855;383
69133;2016;4341;1835
69133;2017;4331;1845
69133;2018;4324;1936
69133;2019;4318;1946
69133;2020;4313;1957
69133;2021;4350;1995
69133;2022;4323;1995
69133;2023;4323;1995
69133;2024;4323;1995
69134;2016;201;106
69134;2017;210;108
69134;2018;218;110
69134;2019;227;112
69134;2020;230;113
69134;2021;233;115
69134;2022;243;115
69134;2023;243;115
69134;2024;243;115
69135;2016;1904;1242
69135;2017;1905;1243
69135;2018;1909;1252
69135;2019;1911;1254
69135;2020;1914;1257
69135;2021;1914;1261
69135;2022;1923;1261
69135;2023;1923;1261
69135;2024;1923;1261
69136;2016;2892;1220
69136;2017;2959;1253
69136;2018;3056;1282
69136;2019;3118;1290
69136;2020;3180;1299
69136;2021;3200;1312
69136;2022;3212;1312
69136;2023;3212;1312
