id_commune;id_year;decile_1_revenu;decile_9_revenu;ratio_deciles
69076;2016;16630.3571428571;59411.0;3.57244282186191
69076;2017;17510.0;60320.0;3.4
69076;2018;17700.0;63290.0;3.6
69076;2019;18930.0;64570.0;3.4
69076;2020;18900.0;66880.0;3.5
69076;2021;19300.0;64890.0;3.4
69077;2014;;;
69077;2015;;;
69077;2016;;;
69077;2017;;;
69077;2018;;;
69077;2019;;;
69077;2020;;;
69077;2021;;;
69078;2014;;;
69078;2015;;;
69078;2016;;;
69078;2017;;;
69078;2018;;;
69078;2019;;;
69078;2020;;;
69078;2021;;;
69080;2014;;;
69080;2015;;;
69080;2016;;;
69080;2017;;;
69080;2018;;;
69080;2019;;;
69080;2020;;;
69080;2021;;;
69081;2014;12340.0;56547.6;4.58246353322528
69081;2015;12386.9230769231;58544.0;4.72627460721605
69081;2016;12774.1379310345;59047.4;4.62241760021595
69081;2017;12720.0;59610.0;4.7
69081;2018;12770.0;61290.0;4.8
69081;2019;12760.0;60590.0;4.7
69081;2020;12840.0;59220.0;4.6
69081;2021;13050.0;62050.0;4.8
69082;2014;;;
69082;2015;;;
69082;2016;;;
69082;2017;;;
69082;2018;;;
69082;2019;;;
69082;2020;;;
69082;2021;;;
69083;2014;;;
69083;2015;;;
69083;2016;;;
69083;2017;;;
69083;2018;;;
69083;2019;;;
69083;2020;;;
69083;2021;;;
69084;2014;;;
69084;2015;;;
69084;2016;;;
69084;2017;;;
69084;2018;;;
69084;2019;;;
69084;2020;;;
69084;2021;;;
69085;2014;;;
69085;2015;;;
69085;2016;;;
69085;2017;;;
69085;2018;;;
69085;2019;;;
69085;2020;;;
69085;2021;;;
69086;2014;15760.7692307692;41777.619047619;2.65073477289788
69086;2015;16110.0;41249.5652173913;2.560494426902
69086;2016;16444.5;43468.0;2.64331539420475
69086;2017;16620.0;43220.0;2.6
69086;2018;17280.0;46090.0;2.7
69086;2019;17900.0;46170.0;2.6
69086;2020;18710.0;45580.0;2.4
69086;2021;19120.0;47350.0;2.5
69087;2014;15056.511627907;54954.7619047619;3.64990000757574
69087;2015;15102.0;55724.6666666667;3.68988654924293
69087;2016;15669.756097561;57820.0;3.68991065591632
69087;2017;16330.0;61850.0;3.8
69087;2018;16730.0;61830.0;3.7
69087;2019;16570.0;62580.0;3.8
69087;2020;16570.0;60920.0;3.7
69087;2021;17820.0;62230.0;3.5
69088;2014;12020.0;41443.3333333333;3.44786466999445
69088;2015;11928.0;41044.1379310345;3.44099077221952
69088;2016;12313.8095238095;40784.0;3.31205383038787
69088;2017;12360.0;41700.0;3.4
69088;2018;12750.0;43070.0;3.4
69088;2019;13190.0;43690.0;3.3
69088;2020;13390.0;43600.0;3.3
69088;2021;13480.0;45270.0;3.4
69089;2014;13929.5238095238;44870.6666666667;3.2212635033502
69089;2015;13968.0;45840.9523809524;3.28185512463863
69089;2016;13922.5;45955.7142857143;3.30082343585666
69089;2017;14120.0;47250.0;3.3
69089;2018;14880.0;49140.0;3.3
69089;2019;14530.0;48950.0;3.4
69089;2020;15070.0;48310.0;3.2
69089;2021;14950.0;50090.0;3.4
69090;2014;;;
69090;2015;;;
69090;2016;;;
69090;2017;;;
69090;2018;;;
69090;2019;;;
69090;2020;;;
69090;2021;;;
69091;2014;8716.19047619048;27764.0;3.18533653846154
69091;2015;8724.83870967742;27955.5;3.20412799940844
69091;2016;8813.52941176471;27716.0;3.14471067209504
69091;2017;8940.0;28180.0;3.2
69091;2018;9120.0;28570.0;3.1
69091;2019;9060.0;28940.0;3.2
69091;2020;9530.0;29270.0;3.1
69091;2021;9800.0;30280.0;3.1
69092;2014;11052.75;37242.6666666667;3.36953850097638
69092;2015;10827.3333333333;37240.6666666667;3.43950495659134
69092;2016;11345.0;37463.4615384615;3.30220022375157
69092;2017;11850.0;38370.0;3.2
69092;2018;11890.0;39620.0;3.3
69092;2019;12050.0;39620.0;3.3
69092;2020;12640.0;40240.0;3.2
69092;2021;12520.0;41720.0;3.3
69093;2014;;;
69093;2015;;;
69093;2016;;;
69093;2017;;;
69093;2018;;;
69093;2019;;;
69093;2020;;;
69093;2021;;;
69094;2014;14185.0;43208.0;3.0460345435319
69094;2015;14619.6153846154;44450.0;3.04043566336061
69094;2016;14810.0;43370.0;2.92842673869007
69094;2017;14650.0;43620.0;3.0
69094;2018;15000.0;43830.0;2.9
69094;2019;14800.0;43610.0;2.9
69094;2020;15410.0;43690.0;2.8
69094;2021;15510.0;45930.0;3.0
69095;2014;;;
69095;2015;;;
69095;2016;;;
69095;2017;;;
69095;2018;;;
69095;2019;;;
69095;2020;;;
69095;2021;;;
69096;2014;10697.037037037;30670.0;2.86714908939824
69096;2015;10880.3571428571;30984.0;2.84770064007878
69096;2016;11198.6956521739;30769.0;2.74755212175331
69096;2017;11350.0;30690.0;2.7
69096;2018;11420.0;32280.0;2.8
69096;2019;11480.0;32080.0;2.8
69096;2020;12060.0;32890.0;2.7
69096;2021;12090.0;34460.0;2.9
69097;2014;;;
69097;2015;;;
69097;2016;;;
69097;2017;;;
69097;2018;;;
69097;2019;;;
69097;2020;;;
69097;2021;;;
69098;2014;;;
69098;2015;;;
69098;2016;;;
69098;2017;;;
69098;2018;;;
69098;2019;;;
69098;2020;;;
69098;2021;;;
69099;2014;;;
69099;2015;;;
69099;2016;;;
69099;2017;;;
69099;2018;;;
69099;2019;;;
69099;2020;;;
69099;2021;;;
69100;2014;12283.9473684211;39530.0;3.21802095160565
69100;2015;12410.7692307692;39387.5;3.17365501425561
69100;2016;12190.7692307692;39460.0;3.23687531549722
69100;2017;12140.0;40220.0;3.3
69100;2018;12820.0;41720.0;3.3
69100;2019;12500.0;41750.0;3.3
69100;2020;12930.0;41910.0;3.2
69100;2021;13220.0;43910.0;3.3
69102;2014;;;
69102;2015;;;
