commune_id;candidate_id;candidate_slot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exp;extraction_source_url;ingestion_timestamp;source_file_name
69_061;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;284;30.44;39.89;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_062;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;209;32.55;42.48;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_063;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;669;19.57;26.33;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_064;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;702;25.54;36.58;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_065;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;269;38.37;52.54;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_066;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1168;37.22;55.43;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_067;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;285;30.81;45.24;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_068;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;365;19.8;27.61;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_069;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;2007;23.36;32.54;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_070;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;372;40.48;53.68;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_071;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;171;19.28;25.75;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_072;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1420;21.01;28.9;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_074;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;338;29.29;36.98;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_075;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;61;47.66;58.65;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_076;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;628;27.45;34.75;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_077;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;374;44.95;61.01;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_078;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;199;34.13;44.03;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_080;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;535;39.78;52.66;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_081;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;2283;19.12;26.48;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_082;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;66;33.85;43.42;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_083;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;204;23.31;29.61;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_084;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;342;35.08;47.24;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_085;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;246;22.53;30.56;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
