commune_id;Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_072;69;Rhône;072;Dardilly;Complet;6759;1531;22.65;5228;77.35;260;3.85;4.97;54;0.8;1.03;4914;72.7;93.99;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_074;69;Rhône;074;Denicé;Complet;1154;175;15.16;979;84.84;56;4.85;5.72;9;0.78;0.92;914;79.2;93.36;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_075;69;Rhône;075;Dième;Complet;128;18;14.06;110;85.94;6;4.69;5.45;0;0.0;0.0;104;81.25;94.55;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_076;69;Rhône;076;Dommartin;Complet;2288;376;16.43;1912;83.57;87;3.8;4.55;18;0.79;0.94;1807;78.98;94.51;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_077;69;Rhône;077;Dracé;Complet;832;169;20.31;663;79.69;41;4.93;6.18;9;1.08;1.36;613;73.68;92.46;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_078;69;Rhône;078;Duerne;Complet;583;98;16.81;485;83.19;27;4.63;5.57;6;1.03;1.24;452;77.53;93.2;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_080;69;Rhône;080;Echalas;Complet;1345;249;18.51;1096;81.49;67;4.98;6.11;13;0.97;1.19;1016;75.54;92.7;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_081;69;Rhône;081;Ecully;Complet;11942;2765;23.15;9177;76.85;432;3.62;4.71;122;1.02;1.33;8623;72.21;93.96;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_082;69;Rhône;082;Emeringes;Complet;195;32;16.41;163;83.59;11;5.64;6.75;0;0.0;0.0;152;77.95;93.25;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_083;69;Rhône;083;Eveux;Complet;875;138;15.77;737;84.23;42;4.8;5.7;6;0.69;0.81;689;78.74;93.49;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_084;69;Rhône;084;Fleurie;Complet;975;186;19.08;789;80.92;50;5.13;6.34;15;1.54;1.9;724;74.26;91.76;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_085;69;Rhône;085;Fleurieu-sur-Saône;Complet;1092;222;20.33;870;79.67;60;5.49;6.9;5;0.46;0.57;805;73.72;92.53;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_086;69;Rhône;086;Fleurieux-sur-l'Arbresle;Complet;1910;362;18.95;1548;81.05;108;5.65;6.98;19;0.99;1.23;1421;74.4;91.8;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_087;69;Rhône;087;Fontaines-Saint-Martin;Complet;2345;455;19.4;1890;80.6;87;3.71;4.6;25;1.07;1.32;1778;75.82;94.07;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_088;69;Rhône;088;Fontaines-sur-Saône;Complet;4993;1377;27.58;3616;72.42;232;4.65;6.42;65;1.3;1.8;3319;66.47;91.79;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_089;69;Rhône;089;Francheville;Complet;10001;2121;21.21;7880;78.79;368;3.68;4.67;1379;13.79;17.5;6133;61.32;77.83;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_090;69;Rhône;090;Frontenas;Complet;696;164;23.56;532;76.44;40;5.75;7.52;7;1.01;1.32;485;69.68;91.17;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_091;69;Rhône;091;Givors;Complet;11235;4810;42.81;6425;57.19;407;3.62;6.33;147;1.31;2.29;5871;52.26;91.38;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
