CODGEO,LIBGEO,NBMENFISC15,NBPERSMENFISC15,MED15,PIMP15,TP6015,TP60AGE115,TP60AGE215,TP60AGE315,TP60AGE415,TP60AGE515,TP60AGE615,TP60TOL115,TP60TOL215,PACT15,PTSA15,PCHO15,PBEN15,PPEN15,PPAT15,PPSOC15,PPFAM15,PPMINI15,PPLOGT15,PIMPOT15,D115,D915,RD15,year,extraction_source_url,ingestion_timestamp,source_file_name
69080,Échalas,628,1689,23552.8571428571,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69081,Écully,6658,16035,27014.8333333333,70,10,,16,11,10,,,5,20,68.7,60.6,2.1,6.1,32.2,21.1,3,1.6,0.7,0.7,-25,12386.9230769231,58544,4.72627460721605,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69082,Émeringes,103,254,21956.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69083,Éveux,423,1138,26731.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69084,Fleurie,535,1221.5,20493.75,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69085,Fleurieu-sur-Saône,543,1483,27554.4,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69086,Fleurieux-sur-l'Arbresle,910,2450,25984.6666666667,71,,,,,,,,,,81,75.1,2.7,3.2,26,9.5,2.6,1.8,0.4,0.4,-19.1,16110,41249.5652173913,2.560494426902,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69087,Fontaines-Saint-Martin,1038,2848.5,29947,74,,,,,,,,,,81.3,72.4,2.9,6.1,24.5,14.4,2.3,1.5,0.3,0.4,-22.5,15102,55724.6666666667,3.68988654924293,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69088,Fontaines-sur-Saône,3156,7187.5,22600.9523809524,64,11,,16,12,,,,,21,77.2,69.7,3.1,4.4,26.1,11.2,4.4,2,1.2,1.2,-18.9,11928,41044.1379310345,3.44099077221952,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69089,Francheville,5520,13913,25283.3333333333,72,7,,10,8,,,,,16,78.8,70.8,2.6,5.4,26.2,12,3.4,1.9,0.7,0.8,-20.4,13968,45840.9523809524,3.28185512463863,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69090,Frontenas,309,840,25581.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
